Delegator Address,Validator Address,Staked Amount,Reward Debt,Timestamp
0x9cb4fdfef89d322b8d74295d257e030ff0caedcd,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,20000000000000000000,,2025-01-05T10:14:04.555Z
0x2b41bd64aa5400ac68f3ba2c35f4a39842b47e03,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,570000000000000000,,2025-01-05T10:14:04.555Z
0x3c931fab790c6632dad70f1339e916e89fac327b,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,11000000000000000000,,2025-01-05T10:14:04.555Z
0xb6c786f4ce13134747cfa9dde18f1ee1e9f4552d,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000000,,2025-01-05T10:14:04.555Z
0x3e08523564cf67e927e5f7a6b6b412e32b73f678,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,79000000000000000000,,2025-01-05T10:14:04.555Z
0xa96cc7e6cbf628dc24aeb2578da59c09005b067e,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,10000000000000000,,2025-01-05T10:14:04.555Z
0x39777fa0e56838a2ef346758a5b802ed7543f238,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,51000000000000000000,,2025-01-05T10:14:04.555Z
0x2fae77aa4b13d72ee957d78961a33e21ac1fc579,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5000000000000000000,,2025-01-05T10:14:04.555Z
0xfd37a384710f3f25be046d1dd158dbf089fd3a63,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x965f4eba8b4de01fa22d2f0051f1e51c15a275f6,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,32377254521236150756,,2025-01-05T10:14:04.555Z
0x4914058fbb0b8f11c7bbc6d00a7ee9318a704b2a,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,2713645372612518642,,2025-01-05T10:14:04.555Z
0x27956f4af485a3bfefe9655f0054b67b7bf8289f,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0xc4bbeb44ea4464e832d536e2dd95c94c87485799,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5000000000000000000,,2025-01-05T10:14:04.555Z
0xb6ed66133816d117403bcc9f079c7e9ef8aa9562,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,101000000000000000000,,2025-01-05T10:14:04.555Z
0x00339ab8695ffd1a8668a83c0b5ecd20f52d538b,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,101000000000000000000,,2025-01-05T10:14:04.555Z
0x06879c60d9999febddf5d57c2b57eb51412042cd,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,500000000000000000000,,2025-01-05T10:14:04.555Z
0x84dd0faa78266a2afa57c3f1ec182694c974f8c8,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,468290374462988424,,2025-01-05T10:14:04.555Z
0x9a02f3d971e5060a80dd7b5c3c38eccdde4e71f4,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,2000000000000000000,,2025-01-05T10:14:04.555Z
0x9956e9069037f1e5f38155f8dc4bcc8673d10578,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,300000000000000000000,,2025-01-05T10:14:04.555Z
0x254b1822428a4d92a1db6adb0cdee2ede582f61b,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,100000000000000000000,,2025-01-05T10:14:04.555Z
0x53d71b83cff896357df29017349f3f6abdb19b9e,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,101922400023583396290,,2025-01-05T10:14:04.555Z
0x57868971f4588242499e59527221b55ed0e7095d,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x8a2b902b83f12fa61c2ae8c4fc237cd2f3de4adf,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x05c6d6cd081c2433227d8977d7b6bd9447bc2258,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x02565ccb5b48641808063bca489a3312c85d6ce9,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,100000000000000000000,,2025-01-05T10:14:04.555Z
0xed6f59f633a30198ff2ec6fbb657e484c38eee8c,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,101000000000000000000,,2025-01-05T10:14:04.555Z
0x9624db27960b8ac527abeb1ecc72b4173df364a7,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,10000000000000000000,,2025-01-05T10:14:04.555Z
0x2f41672bfb9bf4f6f7f3bbae388b6734330610ef,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x00cfc204fa432c5fb7e1941e47df4bf7775bf53c,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0x4a4f1981b9a767ac800a4af14a8ca1d4ba7e566a,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,10000000000000000000,,2025-01-05T10:14:04.555Z
0x0d95b89f5956ff8b03e4e0fc965702a41953991c,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x1fd2bdc9569c452d64609d155084eb89058b260c,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,10000000000000000000,,2025-01-05T10:14:04.555Z
0x3227b537ec7fd25d2a76b9eaa591ffa4b5e5e298,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,4000000000000000000,,2025-01-05T10:14:04.555Z
0x2f79f96269dee4c43b62481270362b7970ef616d,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0xf478e54f3674f1b07d4f051b55bf34dbaa7d2a12,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,47810089999990000000,,2025-01-05T10:14:04.555Z
0xa4a43335a1dabfc8816e0df665655f5798a46707,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,3000000000000000000,,2025-01-05T10:14:04.555Z
0xfaa0496331a8e84ed21b4b097c4e981f5dc041d9,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5000000000000000000,,2025-01-05T10:14:04.555Z
0x8b231138816af1c1ca213e78826ca09a06d89a2e,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5000000000000000000,,2025-01-05T10:14:04.555Z
0x0651648dc39319211f44ff8490622e372ce484d8,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5000000000000000000,,2025-01-05T10:14:04.555Z
0xacd39495bb0173d1bd67235b5df9cdcf0c653cf8,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0x0edc86b311b8d7ec61a1289b5aa6ba81199109b6,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0x4437502e4750f0b2b369e0c9e8469767882d2018,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,10000000000000000,,2025-01-05T10:14:04.555Z
0x9d43c296b995bb2053f6a5f065a0dae53a562da2,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,32525838244319347944543,,2025-01-05T10:14:04.555Z
0xaf4232bf2bd7cc64e8da136c77cdd86f3e2d845e,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,50000000000000000000,,2025-01-05T10:14:04.555Z
0xc2328d0f3cf0d40c9cce5f7be8acb8d3d61c94eb,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0xa3d0e5984b410d49f866d50178d72daf84979c2f,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1200000000000000000,,2025-01-05T10:14:04.555Z
0x1582c022335640eed6602b571a7dcc5d307b1c02,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,25000000000000000000,,2025-01-05T10:14:04.555Z
0x8954b363e5138f0bf5e46a1f36f120152392be5d,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5000000000000000000,,2025-01-05T10:14:04.555Z
0x1dcf0386cca29f9ab496c6d62e6f17da990eaec5,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,110000000000000000000,,2025-01-05T10:14:04.555Z
0x3b04fad6d7d47c541107a67fb5ae31c2ec4e437b,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0x9dd75bf45d18d91890ae60bab7461a16e180f3ed,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,11000000000000000000,,2025-01-05T10:14:04.555Z
0x34c9c6c1a3a30ded3972efc338852cb22495ba7e,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,2000000000000000000,,2025-01-05T10:14:04.555Z
0xdff2d5ab116d15569ec615562cc3018619b9b777,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,600000000000000000,,2025-01-05T10:14:04.555Z
0x24bd864897a9f498ac54be2ed40809aba6041896,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,4164222352547784972,,2025-01-05T10:14:04.555Z
0x73f387790bfe3eea8d260f102f53ae879a76560a,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,160000000000000000000,,2025-01-05T10:14:04.555Z
0x48ea4f802c8ddd952795013e35562980841580cf,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0xcba1e22c1aff07e96420aa1c914df0ad55261664,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0xac9420e08fde0214bfdf3810136a03471f2757de,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0xaa4675f772006f0832caeb1eadfe57a7ab246598,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0x67f0b2919241e839972bf35d1c6c47ba415a7c05,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0xcf303c96d6d251911f93409cbae6d4fbffa2c82c,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,201010000000000000000,,2025-01-05T10:14:04.555Z
0x4180df94913b25ba7fb6d20a5d87c33055104726,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000522526193937651719,,2025-01-05T10:14:04.555Z
0x830c63af66346f8e542dec2e1aed246a291d82d0,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,10000000000000000000,,2025-01-05T10:14:04.555Z
0x2b51924126ab44c7f01215d3c96870939e2883e5,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,38100000000000000000,,2025-01-05T10:14:04.555Z
0x2c3d54c64ca332a63d5bfa561ccd4732eb548060,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x976f7ac0909cc54f51156b57ec3d491a7a7db558,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,1000000000000000000,,2025-01-05T10:14:04.555Z
0x166916043acccc0edcdf792f6c6d5342797a0b7f,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,220000000000000000000,,2025-01-05T10:14:04.555Z
0x020587a062fb27ad5f81e819f31ec1f9b710f384,0x8a4be221fbb743353b2365ceacfb57109a2ac73e,5366909664062293850212,,2025-01-05T10:14:04.555Z
